LIST_NUM;LIST_NAME;CAND_NUM;CAND_NAME;CAND_PICTURE
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;11;De Paola Remo;11 Remo De Paola.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;12;Tomi Renata (Gabriella);12 Renata (Gabriella) Tomi.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;13;Amodio Francesca;13 Francesca Amodio.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;14;Bacchiega Ubaldo;14 Ubaldo Bacchiega.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;15;Balbinot Fiorella;15 Fiorella Balbinot.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;16;Bratzu Andrea;16 Andrea Bratzu.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;17;Bancaro Monica;17 Monica Bancaro.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;18;Dellantonio Elio;18 Elio Dellantonio.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;19;Bianchin Serena;19 Serena Bianchin
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;20;Di Lucrezia Daniele;20 Daniele Di Lucrezia.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;21;Carlino Rosa;21 Rosa Carlino.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;22;Martinelli Andrea;22 Andrea Martinelli.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;23;Carrara Alessandra;23 Alessandra Carrara.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;24;Nones Giorgio;24 Giorgio Nones.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;25;Crestani Angelina;25 Angelina Crestani.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;26;Rigotti Mario;26 Mario Rigotti.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;27;Endrizzi Sara;27 Sara Endrizzi.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;28;Schiavo Silvano;28 Silvano Schiavo.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;29;Hameed Humera;29 Humera Hameed.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;30;Serafini Antonio (Toni);30 Antonio (Toni) Serafini.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;31;Jancarova Ferro Sarka;31 Sarka Jancarova Ferro.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;32;Singh Ravinderjit;32 Singh Ravinderjit.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;33;Melis Viviana;33 Viviana Melis.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;34;Staffler Uwe;34 Uwe Staffler.jpg
5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;35;Syed Mohammad Imtiaz;35 Mohammad Imtiaz Syed.jpg
6;VERDI GRÜNE VERC;1;Foppa Brigitte;1 Foppa Brigitte.jpg
6;VERDI GRÜNE VERC;2;Giunta Sabine;2 Giunta Sabine.jpg
6;VERDI GRÜNE VERC;3;Staffler Hanspeter;3 Staffler Hanspeter.jpg
