MUNI_NUM;MUNI_DESC_I;MUNI_DESC_D;MUNI_DESC_L;MUNI_SECT;MUNI_SECP;MUNI_BLANK;MUNI_NULLS;LIST_NUM;LIST_NAME;LIST_VOTES
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;11;FORZA ITALIA;0
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;12;VITA;16
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;13;CENTRO DESTRA;1
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;14;SVP SÜDTIROLER VOLKSPARTEI;407
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;13
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;17;21;16;FÜR SÜDTIROL MIT WIDMANN;26
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;1;TEAM K;3371
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;2;MOVIMENTO 5 STELLE;932
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;3;ENZIAN;166
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;4;STF SÜDTIROLER FREIHEIT;584
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;5101
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;6;VERDI GRÜNE VËRC;4973
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;7;FRATELLI D’ITALIA;8491
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;8;LA CIVICA;3971
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;9;JWA - WIRTH ANDERLAN;353
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;10;DIE FREIHEITLICHEN;415
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;11;FORZA ITALIA;896
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;12;VITA;1230
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;13;CENTRO DESTRA;912
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;14;SVP SÜDTIROLER VOLKSPARTEI;6982
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;3323
021008;BOLZANO;BOZEN;BULSAN;80;80;268;964;16;FÜR SÜDTIROL MIT WIDMANN;865
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;1;TEAM K;47
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;2;MOVIMENTO 5 STELLE;0
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;3;ENZIAN;2
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;4;STF SÜDTIROLER FREIHEIT;46
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;0
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;6;VERDI GRÜNE VËRC;21
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;7;FRATELLI D’ITALIA;9
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;8;LA CIVICA;0
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;9;JWA - WIRTH ANDERLAN;27
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;10;DIE FREIHEITLICHEN;22
